clean_text,category
always new all your statement against modi politically motivated and today proved ,1.0
gst best nation tax much business opportunities have opened very less hurdle phele vat excise aur type tax the really thank modi for bringing this change,1.0
"bsf jawan sacked for complaining about food will take modi varansi
true nationalist will vote for actual jawan instead politician who exploit jawans for publicity and votes ",1.0
hats off drdo narenda modi for ,0.0
and when modi did surgical strike you are reviewing shitty movie and getting abused public,0.0
anyone who thinks modi will make such gimmicky promise not thinking wisely this coming from the congress school thought while bjp looks empowering people congress wants them lazy and inefficient for votes,1.0
not only love letter but also visited uninvited invited his oath ceremony invited isi exchanged gifts what not pulwama happened modi was making poses for shooting was busy electioneering ,1.0
modi should conparty lacked the political will attack pakistan pindi members attended functions gandhinehru family they have pact with pakistan you scratch back ’ scratch yours ,0.0
when modishah have got your cbi file you arent left with many options ,1.0
sir modi govt completes months office tomorrow please put out month performance report work done railways with screenshots newspaper clippings,0.0
the horrible prime minister modi need help from sir iam prasannakumar from chennai tamilnadu iam car driver iam working ola call taxi this call taxi have many problems ism many times complain office but response pls need help,0.0
congress has virtually emptied the coffers reportedly through massive loot public funds when was thrown out 2014 modi took charge with empty coffersgenerated funds thro various ways means for the government completed several projects just yrs link logically,1.0
religious leaders join the chorus for narendra modi ,0.0
these indias poorest reduced from during yrs rule they still exist for the past yrs khangress rule then who should held responsible,-1.0
bharat where even the leave for his term just like his records ,0.0
"during congress rule sonia became the fourth rich person the world
during namo rule india became the fourth powerful country the world
that the difference between nasty dynasty india national corrupts inc rule and modi’ rule",-1.0
not the first outsider rise from middleclass humble background but anyways these kinda stories help modi his popularity takes beating after series missteps,1.0
india shoots down loworbit satellite becomes space power now says narendra modi ,-1.0
basically using her mentor modis tactic only question credibility instead focusing the real issue,1.0
use this beg for campaign ,0.0
then anti satellite missile lunched isros scientists team not narendra modi,0.0
just election sympathy for modi,0.0
same also said that indians believe narendra modi ,0.0
note ban loses unmanaged gst lpg price fuel price provident fixed deposit rates reduced allegations faked modi cbi raid rbi chief resignation who opposed note ban where blackmoney from swiss 100 days why beti bachao scheme funds modis advertising,-1.0
calm down vote modi out and the nations collective grammar and will improve leaps and bounds,1.0
well modi ’ promise deposit lakhs into bank acs every citizen was part developmental economic activity,1.0
modi begins poll campaign northeast attacked opposition slams congress inside kashmir ,0.0
already modi has done that implementing gst,0.0
wish could support this campaign agar niyat sahi hoti all these years they have focussed only modi one talked about boosting startup culture creating job creator mindset criticism always been cake walk talk about alternative,0.0
modi win 240260 bjp congress others various ranges this congress announcement will damage bjpsp think bjp ,1.0
’ the best leader world has ever seen ’ the most honest person that ever lived will make india most powerful and most developed country the world ladies and gentlemen ’ narendra modi ,1.0
antimodi well but ,0.0
covert operations become offensive under modi ,0.0
chooth everytime you post anti modi tweets makes modi supporters more determined make him win gadda khoda aur khud usme gir gaye,1.0
thought you are educated beef ban not done modi its baned different states btw actually baba saheb ambedkar has baned constitution still every india has not even implemented constitution properly ,0.0
should send modi the border and send our soldiers back home its high time they got some rest,1.0
pakistan probably more interested modi message our countrymen anytime now ,1.0
par bolange anti modi bolne dum hai coz actually come your door eliminate ,0.0
congratulated modi for repm,0.0
similar they also sent letter against modi also not give him visa,0.0
sister from past years searching for truth but not what about bringing black money 100 day again you may say facts sis better keep your facts with you and vote modi not supporter any party modi wins will not run house have ,1.0
lok sabha election live updates left stone unturned serving the country says modi odisha ⚡american gods ,1.0
total disarray after scheme want deliver justice india’ poorest families and end poverty through ‘nyay’ scheme said via jammu the daily news paper,0.0
rahul gandhi everything that modi not — hes ideal choice ,1.0
one day when yogi becomes the and when modi hangs his boots and decides not contest any election our liberals will write articles how yogi has disrespected modi and try instigate,0.0
since 2014 have been following modi and since then get angry when people unnecessarily hurls personal abuses him has changed india for the better and also have befitting reply atankistan,-1.0
the opposition leaders our country believe more modis words than citizenshe promises take back all looted money from top guns politicstheir believe modis word fear can seen clearly the faces gathbandhan leaders ,1.0
power hungry opportunist wanted ministership but modi did not give him thats the only reason shameless fellow,0.0
the perfect ring master the political circus india one knows the mindset indian electorate better than modi,1.0
dont blindly follow inc now proud indian its not modis india you believe its our pride india,1.0
modi should take cue from new zealand  after pulwama attack barring tweet modi neither addressed the nation nor the media  when kashmiris were attacked some places india modi took more than week speak out,1.0
awe yes there are some idiot cases but frankly nothing there dumeelachidonga pandian awe even ups know the difference between paint and real  chennai admk dmk modi anti modi fight only imo,-1.0
modi said theres much black money outside india that brought back its equivalent lacs per person india its figure speech called personification like saying jheel jaisi aankhe doesnt refer size eyes jheel,-1.0
support modi who changed the destiny people nation little donation ,-1.0
not fan modi but forgive for not buying the hyperbole that united states representative hindu nationalist,0.0
pledge for the day would not let modi step down until fulfill the promise paying lakhs account,-1.0
what nonsense you and your hollow initiatives you are the one who destroyed taking action time and now you are talking about restoring done well modi government need for you use your brain much,1.0
love for modi only driven love for india period everything else propaganda opposition and media,1.0
thanks for the blessings but don’ worry wouldn’ wish modi like husband for your daughter,1.0
only thing these desperate tweets indicate hindu votes have indeed united under modi irrespective caste region they come from,-1.0
any body able prove that modi made promise giving lakh from side give 1lakh gift,1.0
apna video dekh girgit same modi wen bjp same pappu italian chor wen scamgress,0.0
want join your war room for election that modi becomes again please read articles this agenda,0.0
opposed years peaceful prosperous ruling congress congress awards mfn status pak but modi should held responsible modi modi modi nothing else slaves,1.0
add few more tags pro modi pro rss pro bjp,1.0
lol because comparing modi jis vision make worlds tallest statue and nehrus vision establish world class institution,1.0
why you expect and want pakistan everything respect decision and inshallah things will change but the meantime plz tell narendra modi stop being darendra modi kashmir opening roads only possiable when modi comesback his auqath,0.0
have you been reading the projections the cost the exchequer for rahuls scheme are you just opposing something because its done modi,0.0
tweet posted 1123 the said that his address the nation can watched radio and social media ,1.0
lol this best you have btw did you ever ask shri narendra modi how much tax money and you pay has used advertisements ,1.0
modi never said everybody will get lakhs takle aisi khabar laathe kaha bey number chaman chutiye bey tum,0.0
dear you may beg for any credit for your but tell how many the terrorist you killed that airstrikes when you say were killed pulwama why should not know how many got killed balakot ,1.0
are with modi for better society and super india vote modi,1.0
"understand that have every right hate modi but seriously rahul better than him
",-1.0
one more chela modi unfit candidate for this electionu willloose,1.0
instinct take problem headon indian narendra modi denies malaysia mahathir ‘right’ fly over india while going attain national day parade pakistan – forcing tun take much longer route ,1.0
"gandhi parivar ruled for years
isreal independent 1948
russia 1991but more developed than because gandhi parivar busy filling their pocketsshame shame",1.0
talk modi you can ,0.0
will support you you will saymain bhi ambani main bhi adani22 election tracker live not only chowkidars they also dislike chaiwallahs modi targets oppn news18 via ,1.0
has morning briefing covering news while you slept todays news may meets conservatives amid resignation talk modi india shot down live satellite heres wednesdays morning briefing ,-1.0
when army were attack ing pakistan after phulwamamodi was busy jim corbett national park and was taking selfies and enjoying with tourists girls,1.0
modi most popular the states republictimes now and india today partial where shri kanwal lives,1.0
"that shows how much trust modi has gained indians even modi fails scheme people say tried his best for the good country
",1.0
jealous because abhinandan was all over news when modi expected himself ,-1.0
you should ask this from not modi looks you already planned vote bjp bhakt indian cricket ,0.0
"documents reveal modi and javadekars war indias environment
controversial amendments environmental laws and procedures were sought ",1.0
people who not like hindu ruling india are the guys who are highly critical modi,0.0
yes congress leaders master sycophancy but now bjp leaders also graduating every speech they chant modi modi,0.0
modi ignored his people government focussed helping the rich claims priyanka gandhi via ,1.0
modi taking about productive hours before march end ,0.0
aunty pls roo mat dena bas bata lacs modi kis account dene wale the sabko pls enlighten ,0.0
anything the scam tainted congress run bail mother and son and deputies and families why that you can’ digest the progress india instead dynasty looters india doing well under modi india first,1.0
this announcement modi’ ploy steal the thunder groundbreaking poverty eradication scheme announced shri rahul gandhi yesterday,0.0
not the indians but pidis like you are obliged this corrupt family and one more thing not only modi but the entire nation has negative opinion about this family via ,-1.0
same thing modi doing ri8 nowa complete propaganda dramaonly remain power,0.0
modi should not take credit surgical strike modi should not take credit mission shakti modi should not take credit anything happens good but modi was responsible for failure gsat6a 2018 now modi responsible for wahwhat thinking liberandus,1.0
modi realised pulwama doesnt make any impact and has taken another card,0.0
differ differed with congress 2014 now pro bjp till the time modi there feel protected shiver just thinking rahul gandhi ,0.0
well where were all these modi bhakts when promised 15lalhs each indian,0.0
the modi documentary trailer significant man via ,1.0
want see country developed country and the youth giving you the one more chance prove yourself modi jee plz make this dream come true,1.0
modi announced that will stand seats starting itself unlike pappu who knows amethi will total loss and last minute added wayanad his list ,0.0
kher thi kahan busy thi aap,1.0
nirav modi has been brought westminster magistrate court london for his bail hearing,0.0
"modi wants indias youth become entrepreneurs generate wealth well create jobs
this aristocrat doesnt want people become conscious their responsibility towards their familycountry will nightmare such person becomes ",1.0
most unfair indian poor are not beggars they too live life dignity for years you deprived them their rights and that why they are poor took one modi bring electricity toilet lpg health care every home and modi will take care rest 201924,-1.0
modi steps for clean governance imposing cess jewellery traders biometric attendance for govt employees online results appointments for class class officers removing shady appointments bringing transparency,1.0
"joint washroom oppositions mahathugbandhan built under central govt dream project
swach bharat abhiyan gonna  mat kehna modi kaam nahi kiya ",0.0
railway land procured for rally siliguri ,0.0
must campaign kyoto,0.0
now india successfully tested asatanti satellite missile within just mints india destroyed loe lower earth orbit this proud shri want modi again,1.0
next toilet roll broom mop air india boarding pass with modi’ photo kicks row airline withdraws ,-1.0
those living glass house should never throw stones others houses shortly will judgement day for modi too never forgive our sins never forgave the sins committed others ,0.0
made joke watchmen not modi,0.0
you wish modi rules will break every rule,0.0
well thought one the dumb ass andh bhakt but there some sanity exists yes these are just our political views stand with what think correct whether against modi rahul,-1.0
"imagine the advantage for modi abinandan was pakistan now all dramalike torture etc couldve been cried out
now pulwama effect substituted corbett park effect
satellite attack effect again replaced bluff master saraswat effect",0.0
nsso survey flags unemployment rate hit four decade high absolutely job creation mess and modi talking about pakistan ,1.0
thts why bjp best partymy vote modi bcose love goondagardi,1.0
one side are the sanskaars new india and the other side are casteism and corruption modi meerut megarally watch here ,1.0
breaking modi’ announces india’ antisatellite missile system with successful test against low earth orbit satellite code named mission shakti,1.0
modi boasting space attack whereas has utterly failed defend land evident from unforgivable security lapse pulwama saraswat ,-1.0
modi says has important message for the nation watch live ,1.0
shameless creature what else can expect from and his party jaisa modi waisa tejasvi gangs chaddis,0.0
yess india began 2014 since modi came,0.0
rightly said that the present regime one man show what modi decides and does body questions him all bhakts the govt depend modi for their political survival india must vote out the fascist regime,1.0
rakesh sharma’ conversation with indira was iconic moment but modis annoucement asat shameful via thanks ,1.0
that true and modi and bjp portray they did all the work were the torchbearers the project reality they dont give furry rats ass about all they care for publicity now more than ever feel sorry for the real genius minds behind the work ,1.0
dont you forget that was congress who funded nirav modi and vijay mallya both them were given huge amount money the time congress upa modi has done wonderful job has recovered almost all the money,1.0
strike for says ,0.0
you think they worry about keeping budget decent for long term good this 36lcr going add just the deficit bring back where was before modi brought down his bold petrol price decisionwe will back those inflationary days 70s80smayhem,1.0
bjp wanted the issue die its own and hence let pass through time modi and bjp knew does this announcement entire opposition will attack him directly well and thats what people hate opposition for smart move,1.0
modi going get defeat this will congresspersons’ feat,0.0
"hindus islamic state
",0.0
"namo merchandise being sold during election modi pics slogans tickets air india trains mai bhi chowkidar cups govt canteens bjp posters having military pics biopic being released during elections wake what are guys waiting for
stop being biased",-1.0
you know who friend modi most corrupt why cares for you ,0.0
says modi has done this the difference ,0.0
